"gameId","gameDate","hometeamCity","hometeamName","hometeamId","awayteamCity","awayteamName","awayteamId","homeScore","awayScore","winner","gameType","attendance","arenaId","gameLabel","gameSubLabel","seriesGameNumber","point_diff","lat_home","lon_home","lat_away","lon_away","dist_meters","dist_miles","year","winning_team","home_zone","away_zone","away_travel","away_travel_high"
28800898,"1989-04-04 20:00:00","Cleveland","Cavaliers",1610612739,"Atlanta","Hawks",1610612737,105,91,1610612739,"Regular Season",19322,22,"","",NA,-14,41.4996574,-81.6936772,33.7544657,-84.3898151,894222.175644492,555.643727502394,1989,"home","East","East","In-Zone","Neither"
21800074,"2018-10-27 19:00:00","Detroit","Pistons",1610612765,"Boston","Celtics",1610612738,89,109,1610612738,"Regular Season",18120,624,"","",NA,20,42.3315509,-83.0466403,42.3554334,-71.060511,985386.210244607,612.290414845902,2018,"away","East","East","In-Zone","Neither"
27200218,"1972-12-09 19:00:00","Boston","Celtics",1610612738,"Cleveland","Cavaliers",1610612739,123,88,1610612738,"Regular Season",13071,0,"","",NA,-35,42.3554334,-71.060511,41.4996574,-81.6936772,885193.432234851,550.033528181202,1972,"home","East","East","In-Zone","Neither"
28800578,"1989-02-09 20:00:00","Cleveland","Cavaliers",1610612739,"Indiana","Pacers",1610612754,108,99,1610612739,"Regular Season",12656,22,"","",NA,-9,41.4996574,-81.6936772,39.7683331,-86.1583502,423481.592376253,263.139180536425,1989,"home","East","East","In-Zone","Neither"
26900490,"1970-03-01 19:00:00","Philadelphia","76ers",1610612755,"Baltimore","Bullets",1610612764,104,99,1610612755,"Regular Season",9734,0,"","",NA,-5,39.9527237,-75.1635262,39.2908816,-76.610759,144314.79435896,89.6730280856213,1970,"home","East","East","In-Zone","Neither"
20300403,"2003-12-25 20:30:00","Los Angeles","Lakers",1610612747,"Houston","Rockets",1610612745,87,99,1610612745,"Regular Season",18997,137,"","",NA,12,34.0536909,-118.242766,29.7589382,-95.3676974,2208912.01381802,1372.55386693812,2003,"away","West","Central","Central to West","Neither"
21900624,"2020-01-17 20:30:00","San Antonio","Spurs",1610612759,"Atlanta","Hawks",1610612737,120,121,1610612737,"Regular Season",18354,199,"","",NA,1,29.4246002,-98.4951405,33.7544657,-84.3898151,1420211.39416425,882.478174203233,2020,"away","Central","East","East to Central","Neither"
27000209,"1970-12-01 19:00:00","Chicago","Bulls",1610612741,"Philadelphia","76ers",1610612755,107,91,1610612741,"Regular Season",9290,0,"","",NA,-16,41.8755616,-87.6244212,39.9527237,-75.1635262,1068854.36977865,664.15510860373,1970,"home","East","East","In-Zone","Neither"
21700828,"2018-02-10 19:00:00","Philadelphia","76ers",1610612755,"Los Angeles","Clippers",1610612746,112,98,1610612755,"Regular Season",20504,419,"","",NA,-14,39.9527237,-75.1635262,34.0536909,-118.242766,3847757.02249938,2390.88462882746,2018,"home","East","West","West to East","West to East"
20300402,"2003-12-25 18:00:00","Sacramento","Kings",1610612758,"Dallas","Mavericks",1610612742,103,111,1610612742,"Regular Season",17317,3,"","",NA,8,38.5810606,-121.493895,32.7762719,-96.7968559,2316772.91580735,1439.57550346813,2003,"away","West","Central","Central to West","Neither"
